Year,Month,Month1,Type,Type1,Cost,,
2020,Sep,Sep,grocery,grocery,36.35,,Type
2020,Sep,Sep,dining,dining,25.95,,grocery
2020,Sep,Sep,food,food,5.4,,dining
2020,Sep,Sep,food,food,4,,food
2020,Sep,Sep,dining,dining,19.8,,transport
2020,Sep,Sep,transport,transport,16,,utility
2020,Sep,Sep,food,food,7.8,,other
2020,Sep,Sep,dining,dining,16.3,,shopping
2020,Sep,Sep,food,food,8,,cash
2020,Sep,Sep,dining,dining,19.4,,contribution
2020,Aug,Aug,grocery,grocery,17.6,,education
2020,Aug,Aug,transport,transport,12,,insurance
2020,Aug,Aug,food,food,4.1,,investment
2020,Aug,Aug,food,food,20,,rental
2020,Aug,Aug,food,food,10.8,,activity
2020,Aug,Aug,utility,utility,46,,contribution
2020,Aug,Aug,grocery,grocery,18.25,,loan
2020,Aug,Aug,other,other,10,,
2020,Aug,Aug,food,food,7.5,,
2020,Aug,Aug,food,food,3,,
2020,Aug,Aug,food,food,6.5,,
2020,Aug,Aug,food,food,3.25,,
2020,Aug,Aug,grocery,grocery,9.9,,
2020,Aug,Aug,other,other,156,,
2020,Aug,Aug,food,food,15,,
2020,Aug,Aug,shopping,shopping,22,,
2020,Aug,Aug,grocery,grocery,20.1,,
2020,Aug,Aug,food,food,2.6,,
2020,Aug,Aug,grocery,grocery,23.81,,
2020,Aug,Aug,food,food,5.4,,
2020,Aug,Aug,food,food,3.25,,
2020,Aug,Aug,food,food,4.8,,
2020,Jul,Jul,grocery,grocery,19.6,,
2020,Jul,Jul,food,food,3,,
2020,Jul,Jul,food,food,18,,
2020,Jul,Jul,dining,dining,35.1,,
2020,Jul,Jul,dining,dining,20,,
2020,Jul,Jul,other,other,248.24,,
2020,Jul,Jul,food,food,5.35,,
2020,Jul,Jul,grocery,grocery,33.5,,
2020,Jul,Jul,grocery,grocery,33.1,,
2020,Jul,Jul,food,food,6,,
2020,Jul,Jul,food,food,13,,
2020,Jul,Jul,utility,utility,50.2,,
2020,Jul,Jul,food,food,9,,
2020,Jul,Jul,grocery,grocery,28.94,,
2020,Jul,Jul,food,food,10.6,,
2020,Jul,Jul,food,food,4.6,,
2020,Jul,Jul,food,food,15.6,,
2020,Jul,Jul,grocery,grocery,13.85,,
2020,Jul,Jul,dining,dining,65,,
2020,Jul,Jul,dining,dining,20,,
2020,Jul,Jul,food,food,2,,
2020,Jul,Jul,food,food,8.5,,
2020,Jun,Jun,grocery,grocery,31.52,,
2020,Jun,Jun,food,food,15,,
2020,Jun,Jun,food,food,7,,
2020,Jun,Jun,food,food,2.3,,
2020,Jun,Jun,food,food,24,,
2020,Jun,Jun,food,food,14,,
2020,Jun,Jun,grocery,grocery,42.77,,
2020,Jun,Jun,utility,utility,61,,
2020,Jun,Jun,food,food,11.56,,
2020,Jun,Jun,transport,transport,18,,
2020,Jun,Jun,food,food,5.5,,
2020,Jun,Jun,dining,dining,12.5,,
2020,Jun,Jun,food,food,1.2,,
2020,Jun,Jun,food,food,8,,
2020,May,May,food,food,3,,
2020,May,May,dining,dining,15.5,,
2020,May,May,food,food,14,,
2020,May,May,food,food,15,,
2020,May,May,food,food,22,,
2020,May,May,food,food,4.4,,
2020,Apr,Apr,food,food,22,,
2020,Apr,Apr,food,food,30,,
2020,Apr,Apr,food,food,10.5,,
2020,Sep,Sep,utility,utility,16.24,,
2020,Sep,Sep,dining,dining,6,,
2020,Sep,Sep,dining,dining,36.5,,
2020,Sep,Sep,cash,cash,100,,
2020,Sep,Sep,cash,cash,100,,
2020,Sep,Sep,cash,cash,50,,
2020,Sep,Sep,rental,rental,400,,
2020,Sep,Sep,other,other,57.78,,
2020,Sep,Sep,investment,investment,400,,
2020,Sep,Sep,cash,cash,100,,
2020,Sep,Sep,grocery,grocery,36.05,,
2020,Aug,Aug,grocery,grocery,20.6,,
2020,Aug,Aug,cash,cash,100,,
2020,Aug,Aug,shopping,shopping,21.99,,
2020,Aug,Aug,food,food,4,,
2020,Aug,Aug,dining,dining,21,,
2020,Aug,Aug,utility,utility,16.24,,
2020,Aug,Aug,cash,cash,100,,
2020,Aug,Aug,food,food,10,,
2020,Aug,Aug,investment,investment,400,,
2020,Aug,Aug,dining,dining,29.5,,
2020,Aug,Aug,rental,rental,412.5,,
2020,Aug,Aug,cash,cash,150,,
2020,Jul,Jul,cash,cash,150,,
2020,Jul,Jul,dining,dining,40,,
2020,Jul,Jul,dining,dining,7.2,,
2020,Jul,Jul,dining,dining,10.6,,
2020,Jul,Jul,dining,dining,15,,
2020,Jul,Jul,utility,utility,16.24,,
2020,Jul,Jul,cash,cash,150,,
2020,Jul,Jul,rental,rental,412.5,,
2020,Jul,Jul,investment,investment,400,,
2020,Jul,Jul,cash,cash,150,,
2020,Jul,Jul,dining,dining,20,,
2020,Jun,Jun,dining,dining,54,,
2020,Jun,Jun,cash,cash,100,,
2020,Jun,Jun,utility,utility,16.24,,
2020,Jun,Jun,cash,cash,100,,
2020,Jun,Jun,other,other,150,,
2020,Jun,Jun,cash,cash,100,,
2020,Jun,Jun,rental,rental,412.5,,
2020,Jun,Jun,investment,investment,400,,
2020,Jun,Jun,food,food,14.7,,
2020,Jun,Jun,shopping,shopping,130,,
2020,Jun,Jun,cash,cash,50,,
2020,Jun,Jun,shopping,shopping,65,,
2020,May,May,cash,cash,150,,
2020,May,May,cash,cash,50,,
2020,May,May,food,food,25,,
2020,May,May,utility,utility,16.24,,
2020,May,May,rental,rental,412.5,,
2020,May,May,investment,investment,400,,
2020,May,May,cash,cash,150,,
2020,Apr,Apr,cash,cash,20,,
2020,Apr,Apr,cash,cash,50,,
2020,Apr,Apr,cash,cash,150,,
2020,Apr,Apr,cash,cash,250,,
2020,Apr,Apr,utility,utility,16.94,,
2020,Apr,Apr,rental,rental,412.5,,
2020,Apr,Apr,investment,investment,400,,
2020,Apr,Apr,cash,cash,100,,
2020,Apr,Apr,food,food,13,,
2020,Apr,Apr,grocery,grocery,22,,
2020,Sep,Sep,shopping,shopping,49.85,,
2020,Sep,Sep,shopping,shopping,49.83,,
2020,Aug,Aug,shopping,shopping,49.83,,
2020,Jul,Jul,shopping,shopping,49.83,,
2020,Jun,Jun,shopping,shopping,49.83,,
2020,May,May,shopping,shopping,49.83,,
2020,Apr,Apr,dining,dining,27,,
2020,Apr,Apr,shopping,shopping,49.83,,
2020,Apr,Apr,other,other,10,,
2020,May,May,shopping,shopping,30,,
2020,Jun,Jun,other,other,13,,
2020,Jul,Jul,other,other,30,,
2020,Sep,Sep,contribution,contribution,10,,
2020,Sep,Sep,contribution,contribution,166.67,,
2020,Sep,Sep,insurance,insurance,66.67,,
2020,Sep,Sep,utility,utility,43.4,,
2020,Sep,Sep,utility,utility,1.67,,
2020,Sep,Sep,contribution,contribution,66.67,,
2020,Sep,Sep,contribution,contribution,333.33,,
2020,Aug,Aug,shopping,shopping,15,,
2020,Aug,Aug,other,other,5,,
2020,Aug,Aug,insurance,insurance,66.67,,
2020,Jul,Jul,utility,utility,1.67,,
2020,Jul,Jul,insurance,insurance,66.67,,
2020,Jul,Jul,investment,investment,2666.67,,
2020,Jul,Jul,utility,utility,1.67,,
2020,Jun,Jun,contribution,contribution,166.67,,
2020,Jun,Jun,insurance,insurance,66.67,,
2020,May,May,shopping,shopping,58.67,,
2020,May,May,insurance,insurance,66.67,,
2020,May,May,contribution,contribution,166.67,,
2020,May,May,utility,utility,1.67,,
2020,Apr,Apr,contribution,contribution,21.67,,
2020,Apr,Apr,investment,investment,1962.67,,
2020,Apr,Apr,education,education,266.67,,
2020,Apr,Apr,contribution,contribution,166.67,,
2020,Apr,Apr,insurance,insurance,66.67,,
2020,Apr,Apr,investment,investment,1296,,
2020,Apr,Apr,investment,investment,500,,
2020,Sep,Sep,grocery,grocery,26.68,,
2020,Sep,Sep,grocery,grocery,19.2,,
2020,Sep,Sep,other,other,0,,
2020,Aug,Aug,dining,dining,11.65,,
2020,Aug,Aug,grocery,grocery,38.5,,
2020,Jun,Jun,grocery,grocery,9.5,,
2020,Jun,Jun,grocery,grocery,36.36,,
2020,Jun,Jun,grocery,grocery,18.45,,
2020,Jun,Jun,grocery,grocery,9.78,,
2020,May,May,grocery,grocery,35,,
2020,May,May,grocery,grocery,33.75,,
2020,May,May,grocery,grocery,23.27,,
2020,May,May,food,food,3.3,,
2020,May,May,grocery,grocery,48.03,,
2020,May,May,grocery,grocery,70,,
2020,Apr,Apr,grocery,grocery,27.25,,
2020,Apr,Apr,grocery,grocery,25,,
